Title,Area bare soil
Regions,States & Territories
Description,Annual mean area of bare soil.
InputFile,au/FractCov/BS/FractCover.V3_0_1.AnnualMeans.aust.005.BS.nc
RegionCode,STATE_CODE
RegionLabels,See file STE_codes.csv to match RegionCode to region name.
ColumnLabels,See file DLCD_codes.csv to match ColumnID to category name.
Units,km2
NoDataValue,-9999
Produced,05-Mar-2016 16:16:11
AuthorEmail,albert.vandijk@anu.edu.au
------------------------------------------
ColumnIDs,1,3,4,5,6,7,8,9,10,11,14,15,16,18,19,24,25,31,32,33,34,35
0,64.479,2023.4,782.73,467.63,54.515,0.38056,14770,13070,0,607.34,6072.1,32.619,4320.1,6950.9,44199,11729,8782.3,3519.6,3731.5,10446,8322.2,446.72
1,19.1,710.9,16.711,397.37,182.4,0,7378,8698.2,0,83.384,745.54,14.624,31.164,700.58,490.71,151.16,75.367,966.04,1256,1403.8,1978.9,421.8
2,251.02,1735,2577.5,452.71,47.351,247.18,3434.7,4847.3,52.036,761.64,24676,0.022006,16496,24613,1.4578e+05,15675,15318,5287.6,11613,19276,33571,326.57
3,79.54,1906,14570,105.85,28.918,0,11063,3698,0,175.87,2817.7,1.2177,4988.1,3261.9,2.8785e+05,19129,62185,144.13,356.9,6769.7,2494.6,182.39
4,324.12,3597.6,13343,45.74,15.809,0.036942,21612,2670,0,87.483,3951.4,0,60396,13079,4.1023e+05,50297,1.4533e+05,740.42,2230.7,25634,14402,251.41
5,2.1242,342.76,0.16832,53.242,27.158,0,6.9385,868,0,10.917,20.895,0.17747,1.995,2.0773,27.704,0.57467,0.095134,774.76,677.63,7.4713,119.26,29.669
6,20.786,973.55,1663.3,7.0214,0.07277,0.011237,9.6765,12.492,0,262.2,8146.4,0,79125,14895,1.4233e+05,14444,48710,934.3,9263.5,14700,18027,17.247
7,0.037799,1.3297,0,0.056079,0.084339,0,0.026418,37.791,0,0,1.1991,0.055538,0.10085,0.33202,0.71513,0.055742,0,4.6697,46.446,0.48669,20.537,24.779
8,0,0.094515,0,0,0,0,0,0.0022806,0,0,0.020008,0.002814,0.001187,0,0.033299,0,0,0.94695,0.17554,0,0.047907,0
9999,761.2,11291,32953,1529.6,356.3,247.61,58274,33901,52.036,1988.8,46431,48.719,1.6536e+05,63503,1.0309e+06,1.1143e+05,2.804e+05,12372,29175,78237,78936,1700.6
