Title,Area bare soil
Regions,States & Territories
Description,Annual mean area of bare soil.
InputFile,au/FractCov/BS/FractCover.V3_0_1.AnnualMeans.aust.005.BS.nc
RegionCode,STATE_CODE
RegionLabels,See file STE_codes.csv to match RegionCode to region name.
ColumnLabels,See file DLCD_codes.csv to match ColumnID to category name.
Units,km2
NoDataValue,-9999
Produced,05-Mar-2016 16:39:42
AuthorEmail,albert.vandijk@anu.edu.au
ColumnIDs,1,3,4,5,6,7,8,9,10,11,14,15,16,18,19,24,25,31,32,33,34,35
------------------------------------------ 
0,88.819,1998.6,784.42,635.42,57.608,0.46063,26019,18203,0,1052.5,12182,44.263,6640.4,14535,68307,18946,14810,3898.1,5507.4,18866,15297,577.56
1,25.84,730.17,12.842,486.73,174.6,0,11537,9545.6,0,91.867,1103.6,18.965,39.921,1097.9,705.55,205.37,110.76,1152,1718.6,1877.2,2628.4,519.56
2,343.48,1787,2681.5,573.59,55.51,291.74,4962.8,6803.1,62.029,1164.2,40452,0.0297,24457,40676,2.1263e+05,23734,22191,5690.6,16201,31106,55418,410.28
3,84.315,1615.4,13960,122.63,28.335,0,12725,4424.1,0,202.96,3407.9,1.0721,5617.7,3776.5,3.1842e+05,21829,68849,166.21,460.77,7793,2958,213.78
4,394.61,3413.3,12505,46.367,15.386,0.04805,29405,2958.5,0,95.801,5858.5,0,81991,20180,5.46e+05,66658,1.909e+05,883.33,2863,36541,20592,292.8
5,2.8734,404.11,0.21145,60.303,28.83,0,7.5577,837.18,0,15.533,27.532,0.21553,2.9344,3.1957,34.885,0.8335,0.12556,1017,991.45,12.749,187.97,34.926
6,26.468,1210.5,1530.5,10.062,0.07645,0.016878,14.026,17.013,0,352.9,12952,0,1.0441e+05,24849,1.7875e+05,18243,60127,1243.6,13684,22621,30527,21.376
7,0.056038,1.856,0,0.079037,0.12281,0,0.053692,51.488,0,0,1.6726,0.074919,0.14312,0.50899,1.1404,0.096929,0.0036856,6.4018,69.704,0.68643,29.596,33.509
8,0,0.17151,0,0,0,0,0,0.0032789,0,0.0019753,0.039575,0.0059593,0.0016487,0,0.0878,0,0,1.5667,0.3645,0,0.11792,0
9999,966.46,11161,31474,1935.2,360.47,292.26,84671,42840,62.029,2975.7,75985,64.627,2.2316e+05,1.0512e+05,1.3249e+06,1.4962e+05,3.5699e+05,14059,41496,1.1882e+05,1.2764e+05,2103.8
