Title,Area bare soil
Regions,States & Territories
Description,Annual mean area of bare soil.
InputFile,au/FractCov/BS/FractCover.V3_0_1.AnnualMeans.aust.005.BS.nc
RegionCode,STATE_CODE
RegionLabels,See file STE_codes.csv to match RegionCode to region name.
ColumnLabels,See file DLCD_codes.csv to match ColumnID to category name.
Units,km2
NoDataValue,-9999
Produced,05-Mar-2016 16:51:12
AuthorEmail,albert.vandijk@anu.edu.au
ColumnIDs,1,3,4,5,6,7,8,9,10,11,14,15,16,18,19,24,25,31,32,33,34,35
------------------------------------------ 
0,90.809,1853.3,762.68,633.1,57.732,0.4027,25729,19281,0,1053.1,11950,91.948,6724.9,14446,65878,20000,14534,3610.4,5542.6,21063,16224,591.89
1,26.472,685.36,12.35,507.37,178.06,0,10853,10239,0,94.598,1115.1,42.76,41.764,1086,706.65,214.51,111.17,1254,2277.7,2274.3,3260.6,546.42
2,351.32,1796.6,2692.2,558.31,54.46,287.07,4900.5,6664,58.917,1234.1,43848,0.033167,25144,44939,2.2359e+05,25290,23530,5567.8,15957,33458,60078,410.56
3,85.732,1762.2,14047,122.61,30.182,0,13962,4578.1,0,211.25,3609.7,1.1519,5865.8,4004.6,3.3001e+05,23131,72991,166.57,458.85,8397.6,3092.5,213.69
4,408.3,3409.3,12850,48.593,16.327,0.050677,27280,3036.9,0,100.02,5952.1,0,85410,21113,5.8355e+05,71416,2.0692e+05,917.16,3065.4,40185,22160,297.11
5,2.9678,351.67,0.18968,62.704,31.173,0,7.7114,918.38,0,14.573,27.864,0.23915,2.9681,3.316,34.762,0.80613,0.13577,1023,968.31,13.824,191.57,35.972
6,25.858,1104.2,1694.6,10.647,0.084972,0.0149,15.354,19.251,0,334.73,12422,0,1.1328e+05,24801,2.045e+05,20072,69194,1123.4,11973,22077,27268,22.174
7,0.056985,1.9869,0,0.082605,0.12527,0,0.10216,66.274,0,0,2.6118,0.34156,0.17554,0.87731,1.484,0.12728,0.01892,21.466,154.56,0.80723,49.112,36.286
8,0,0.061452,0,0,0,0,0,0,0,0.0023726,0.021927,0.0022326,0.0010255,0,0.039126,0,0,1.7477,0.37017,0,0.086522,0
9999,991.52,10965,32059,1943.4,368.15,287.53,82748,44803,58.917,3042.4,78928,136.48,2.3647e+05,1.1039e+05,1.4083e+06,1.6012e+05,3.8728e+05,13685,40398,1.2747e+05,1.3232e+05,2154.1
